id,country_code,address1,address2,address3,address4,locality,administrative_area,postal_code,latitude,longitude
INTL_b101876b-a,UN,28078 Baxter Rd Ste 324,,,,Murrieta,CA,92563,,
INTL_34b04fbf-b,UN,PO Box 277,,,,Fairbury,NE,68352,,
INTL_1ebaff1b-4,UN,260 Hospital Dr.,,,,Ukiah,CA,95482,,
INTL_352e5000-2,UN,1405 NW Church Street,,,,Leon,IA,50144,,
INTL_bf93e522-5,UN,3000 SAINT MATTHEWS RD,,,,ORANGEBURG,SC,29118,,
INTL_e74a7cb5-b,UN,612A McCarthy Blvd,,,,New Bern,NC,28562,,
INTL_5845e350-7,UN,1941 1st Ave,,,,Opelika,AL,36801,,
INTL_3d2ae483-9,UN,929 N. St. Francis,,,,Wichita,KS,67214,,
INTL_7b4c460f-3,UN,3251 N Rock Rd,,,,Derby,KS,67037,,
INTL_3f2ae9eb-a,UN,2555 Cumberland Parkway SE,,,,Atlanta,GA,30339,,
INTL_6e4b29f9-d,UN,4215 Joe Ramsey Blvd,,,,GREENVILLE,TX,75402,,
INTL_d13cc162-e,UN,804 Ainsworth Dr Suite 103,,,,Prescott,AZ,86301,,
INTL_e310ea03-8,UN,7100 W. 20th Avenue,,,,Hialeah,FL,33016,,
INTL_b3a80fcf-8,UN,2950 Highway 78 East,,,,Jasper,AL,35501,,
INTL_9e037acb-4,UN,409 Tyler Holmes Dr,,,,Winona,MS,38967,,
INTL_eb38e915-8,UN,RWJBarnabas Health 2 Crescent Place,,,,Oceanport,NJ,07757,,
INTL_be4da266-4,UN,938 South Bradford Street,,,,Dover,DE,19904,,
INTL_01abbd2a-6,UN,9 North Rd Ste 101,,,,Chelmsford,MA,01824,,
INTL_8e7d52fa-d,UN,212 4th Ave SE,,,,Cullman,AL,35055,,
INTL_4e791198-d,UN,1335 Cypress St Ste 205,,,,San Dimas,CA,91773,,
INTL_b439ebf8-e,UN,215 E Mansion St STE 3E,,,,Marshall,MI,49068,,
INTL_3a529c63-c,UN,1101 Michigan Ave,,,,Logansport,IN,46947,,
INTL_65dcf834-b,UN,1325 S Noland Rd # C,,,,Independence,MO,64055,,
INTL_f8482c72-7,UN,121 Drew Ave SE,,,,Madelia,MN,56062,,
INTL_1f74a6c1-e,UN,PO Box 546,,,,Yorktown,IN,47396,,
INTL_c10889c8-f,UN,1501 Alice Street,,,,Waycross,GA,31501,,
INTL_10330fe7-e,UN,4315 Houma Blvd Ste 304,,,,Metairie,LA,70006,,
INTL_f0399265-8,UN,1208 Luther St,,,,Eads,CO,81036,,
INTL_47539f66-2,UN,2200 Havasupai Blvd,,,,Lake Havasu City,AZ,86403,,
INTL_2069b149-c,UN,1700 Cogdell Blvd,,,,Snyder,TX,79549,,
INTL_09d5f445-c,UN,3132 Collins Ferry Rd.,,,,Morgantown,WV,26505,,
INTL_8686c2a7-5,UN,112 W. Pasadena  Blvd.,,,,Deer Park,TX,77536,,
INTL_66426bcb-a,UN,4850 Grande Dr,,,,Pensacola,FL,32504,,
INTL_330f7138-b,UN,1573 Mallory Ln # 100,,,,Brentwood,TN,37027,,
INTL_0f8dd440-0,UN,88 12th St N Ste 100,,,,Naples,FL,34102,,
INTL_98d48ba9-7,UN,8110 S. Cass Ave,,,,Darien,IL,60561,,
INTL_0226e05e-4,UN,1701 W Broadway,,,,Council Bluffs,IA,51501,,
INTL_7644165c-5,UN,6228 Bradley Park Dr Ste A,,,,Columbus,GA,31904,,
INTL_318f3f06-8,UN,901 McClintock Dr Ste 201,,,,Burr Ridge,IL,60527,,
INTL_285356ed-8,UN,140 Wayland Smith Dr,,,,Uniontown,PA,15401,,
INTL_8a5419b0-0,UN,800 S. Ash Street,,,,NEVADA,MO,64772,,
INTL_0dcb7b10-8,UN,403 West Adams Boulevard,,,,Los Angeles,CA,90007,,
INTL_bcc26d83-f,UN,123 Pompano Pl Ste 100,,,,Jacksonville,NC,28546,,
INTL_d8c90f5f-7,UN,877 Jefferson Ave,,,,Memphis,TN,38103,,
