id,addressee,delivery_line_1,delivery_line_2,last_line,address_type,raw_address,latitude,longitude
NS_f580e9fc-3,,,,",",fhir_organization,USA,,
NS_3683ad00-7,,,,",",fhir_organization,USA,,
NS_b7696e80-a,,,,",",fhir_organization,USA,,
NS_4fe00bdb-8,,,,",",fhir_organization,USA,,
NS_91f5c9d9-1,,,,",",fhir_organization,USA,,
NS_2f8e89d8-a,,,,",",fhir_organization,USA,,
NS_35e1eca8-1,,,,",",fhir_organization,USA,,
NS_c183fac1-1,,,,",",fhir_organization,USA,,
NS_35df5210-d,,,,",",fhir_organization,USA,,
NS_aa9db148-4,,,,",",fhir_organization,USA,,
NS_842f2cd8-e,,,,",",fhir_organization,USA,,
NS_8c1400d8-9,,,,",",fhir_organization,USA,,
NS_b61dcbb6-8,,,,",",fhir_organization,USA,,
NS_f38becf0-e,,,,",",fhir_organization,USA,,
NS_1239d90d-5,,,,",",fhir_organization,USA,,
NS_897cda49-3,,,,",",fhir_organization,USA,,
NS_78c50264-b,,,,",",fhir_organization,USA,,
NS_d35cab18-2,,,,",",fhir_organization,USA,,
NS_59ce51f6-1,,,,",",fhir_organization,USA,,
NS_ff775243-5,,,,",",fhir_organization,USA,,
NS_1354fe65-c,,,,",",fhir_organization,USA,,
NS_d36978f6-f,,,,",",fhir_organization,USA,,
NS_2f10c435-6,,,,",",fhir_organization,USA,,
NS_f0b37432-4,,,,",",fhir_organization,USA,,
NS_7f681200-9,,,,",",fhir_organization,USA,,
NS_eb21341b-e,,,,",",fhir_organization,USA,,
NS_8f978b7d-2,,,,",",fhir_organization,USA,,
NS_a98f2a94-1,,,,",",fhir_organization,USA,,
NS_bcf9159a-0,,,,",",fhir_organization,USA,,
NS_290f4234-c,,,,",",fhir_organization,USA,,
NS_ebbaf88e-2,,,,",",fhir_organization,USA,,
NS_16d6d4fc-4,,,,",",fhir_organization,USA,,
NS_5916add3-6,,,,",",fhir_organization,USA,,
NS_1b5a4f14-c,,,,",",fhir_organization,USA,,
NS_8132d05b-e,,,,",",fhir_organization,USA,,
NS_37124406-a,,,,",",fhir_organization,USA,,
NS_08fab4ae-0,,,,",",fhir_organization,USA,,
NS_eb74681e-4,,,,",",fhir_organization,USA,,
NS_28678e7a-b,,,,",",fhir_organization,USA,,
NS_76752d82-4,,,,",",fhir_organization,USA,,
NS_e8969117-2,,,,",",fhir_organization,USA,,
NS_8a936eac-c,,,,",",fhir_organization,USA,,
NS_f66a4f78-2,,,,",",fhir_organization,USA,,
NS_3b3c60ce-8,,,,",",fhir_organization,USA,,
NS_236e6594-8,,,,",",fhir_organization,USA,,
NS_05b8b6f4-5,,,,",",fhir_organization,USA,,
NS_77f68b22-4,,,,",",fhir_organization,USA,,
NS_d04988c2-3,,,,",",fhir_organization,USA,,
NS_2b3b7596-3,,,,",",fhir_organization,USA,,
NS_1dc27b7c-1,,,,",",fhir_organization,USA,,
NS_73be9a99-9,,,,",",fhir_organization,USA,,
NS_c57fc051-1,,,,",",fhir_organization,USA,,
NS_4fee5066-d,,,,",",fhir_organization,USA,,
NS_0ea1f0b6-3,,,,",",fhir_organization,USA,,
NS_e73566a3-e,,,,",",fhir_organization,USA,,
NS_091bb7eb-3,,,,",",fhir_organization,USA,,
NS_21d7e835-a,,,,",",fhir_organization,USA,,
NS_af06d014-6,,,,",",fhir_organization,USA,,
NS_38d65c8c-8,,,,",",fhir_organization,USA,,
NS_591e92c8-e,,,,",",fhir_organization,USA,,
NS_4c36c39e-a,,,,",",fhir_organization,USA,,
NS_cdd28a1b-4,,,,",",fhir_organization,USA,,
NS_d57dbf01-2,,,,",",fhir_organization,USA,,
NS_a1365c47-a,,,,",",fhir_organization,USA,,
NS_234dfc9d-f,,,,",",fhir_organization,USA,,
NS_ce8142ca-6,,,,",",fhir_organization,USA,,
NS_7683cdd3-7,,,,",",fhir_organization,USA,,
NS_90d89835-0,,,,",",fhir_organization,USA,,
NS_717ca588-6,,,,",",fhir_organization,USA,,
NS_d3af683a-d,,,,",",fhir_organization,USA,,
NS_1bc26e9a-0,,,,",",fhir_organization,USA,,
NS_79eff4cf-c,,,,",",fhir_organization,USA,,
NS_3c378a46-c,,,,",",fhir_organization,USA,,
NS_be0f11be-c,,,,",",fhir_organization,USA,,
NS_c0ecfc64-8,,,,",",fhir_organization,USA,,
NS_0c96a9c4-7,,,,",",fhir_organization,USA,,
NS_94bea6cf-a,,,,",",fhir_organization,USA,,
NS_b6805001-e,,,,",",fhir_organization,USA,,
NS_a3d7270c-3,,,,",",fhir_organization,USA,,
NS_a4ada516-8,,,,",",fhir_organization,USA,,
NS_86dc5535-6,,,,",",fhir_organization,USA,,
NS_228975d7-b,,,,",",fhir_organization,USA,,
NS_de1aa97e-5,,,,",",fhir_organization,USA,,
NS_1e96ed22-6,,,,",",fhir_organization,USA,,
NS_2b7fedde-d,,,,",",fhir_organization,USA,,
NS_993a8d52-1,,,,",",fhir_organization,USA,,
NS_683efc54-7,,,,",",fhir_organization,USA,,
NS_ffc6a790-6,,,,",",fhir_organization,USA,,
NS_800e61a7-9,,,,",",fhir_organization,USA,,
NS_a15ec06e-7,,,,",",fhir_organization,USA,,
NS_24850140-e,,,,",",fhir_organization,USA,,
NS_c5eaa2f2-f,,,,",",fhir_organization,USA,,
NS_4c1115c4-1,,,,",",fhir_organization,USA,,
NS_541dd2e5-c,,,,",",fhir_organization,USA,,
NS_a33908da-9,,,,",",fhir_organization,USA,,
NS_752e22e7-2,,,,",",fhir_organization,USA,,
NS_5091e920-5,,,,",",fhir_organization,USA,,
NS_cb7f69c7-2,,,,",",fhir_organization,USA,,
NS_85d2b1d6-3,,,,",",fhir_organization,USA,,
NS_0055e021-5,,,,",",fhir_organization,USA,,
NS_48ff4129-c,,,,",",fhir_organization,USA,,
NS_e5e9c8ca-1,,,,",",fhir_organization,USA,,
NS_44e9fe4d-d,,,,",",fhir_organization,USA,,
NS_cd7931ee-3,,,,",",fhir_organization,USA,,
NS_7350c13d-6,,,,",",fhir_organization,USA,,
NS_d8614aa4-8,,,,",",fhir_organization,USA,,
NS_6506d7f6-c,,,,",",fhir_organization,USA,,
NS_acecad42-3,,,,",",fhir_organization,USA,,
NS_b3660f27-2,,,,",",fhir_organization,USA,,
NS_f921bc41-f,,,,",",fhir_organization,USA,,
NS_bd7ef9ad-d,,,,",",fhir_organization,USA,,
NS_bbf07a3f-a,,,,",",fhir_organization,USA,,
NS_c880f178-b,,,,",",fhir_organization,USA,,
NS_20734950-4,,,,",",fhir_organization,USA,,
NS_cc5bf892-2,,,,",",fhir_organization,USA,,
