id,ehr_vendor_id,address,endpoint_connection_type_id,name,description,environment_type_id
bb07f81e-26e7-5492-978f-28cbec4603f7,,https://fhir-service.medicscloud.com/fhir/da/adsc_cfgd4zbORUCDair,hl7-fhir-rest,"Lowell Scott, MD PA",,production
41f3f2b8-d10c-511f-a14f-bc75fe64342c,,https://fhir-service.medicscloud.com/fhir/da/adsc_m4gjY5w2xKpWufs,hl7-fhir-rest,RIS - NGS MEDICAL,,production
1419ac51-070a-5e71-a58c-34a22ea7eb78,,https://fhir-service.medicscloud.com/fhir/da/adsc_2QxjcEeMoyUlM5N,hl7-fhir-rest,RIS - South Mountain Imaging Center,,production
ba8ea0e5-9370-5a1e-85fd-a7ba3767bb3f,,https://fhir-service.medicscloud.com/fhir/da/adsc_jFcpyJNx1mnWq5C,hl7-fhir-rest,Med-Care of Fairfield,,production
ec4120ef-1a35-5858-b726-d793cb5e995c,,https://fhir-service.medicscloud.com/fhir/da/adsc_lOE6ctLpDbKembl,hl7-fhir-rest,"Robert Martinez, M.D",,production
8821be36-2bc5-5f42-b7ed-8bbd7fbe6af6,,https://fhir-service.medicscloud.com/fhir/da/adsc_APngDbzRZb52FLk,hl7-fhir-rest,RIS - MID MICHIGAN RADIOLOGY ASSOCIATES,,production
bca4be2d-f3a7-5461-93dc-4b5eeee1bb04,,https://fhir-service.medicscloud.com/fhir/da/adsc_b2kx57mePYfmx4s,hl7-fhir-rest,Scartascini & Rogers,,production
2f878739-9049-5b9f-8a4a-f72ba5dc604b,,https://fhir-service.medicscloud.com/fhir/da/adsc_yBZQHLZOO2VS9Nj,hl7-fhir-rest,RISHI SRIKANTH PA,,production
185c64d7-e13c-589b-a4eb-c9e1a08de1f2,,https://fhir-service.medicscloud.com/fhir/da/adsc_fIElNv5zA4G349E,hl7-fhir-rest,Urgent Medical Care,,production
760386b2-e1f9-5b18-9563-05a8d2378d8b,,https://fhir-service.medicscloud.com/fhir/da/adsc_yepXVVne1rlXRMw,hl7-fhir-rest,RIS - ADVANCED IMAGING CONCEPTS,,production
45edee54-681a-521c-9812-fc0b7da02ab3,,https://fhir-service.medicscloud.com/fhir/da/adsc_JSaS7KgqQKxBcgj,hl7-fhir-rest,MEDIGEST HEALTHCARE SERVICES,,production
5e3d2769-2821-50ac-a4f3-18c9a8af28c7,,https://fhir-service.medicscloud.com/fhir/da/adsc_MHcBH8S0suPQcuY,hl7-fhir-rest,DELMONT MEDICAL CARE (Rina Sarkar),,production
457191ac-2a60-5e1d-ad1b-5dc58a46e5f1,,https://fhir-service.medicscloud.com/fhir/da/adsc_LfDEmEFLxoL40sh,hl7-fhir-rest,Neurosurgical Associates of NJ,,production
484b9021-bf02-5859-a5a9-bcff107e60a6,,https://fhir-service.medicscloud.com/fhir/da/adsc_pvmAIxUyQhIU6V1,hl7-fhir-rest,CHAI CARE,,production
6cb96216-69ac-5ab7-a44d-25c16b51edb6,,https://fhir-service.medicscloud.com/fhir/da/adsc_ZJ1lE9q2MxS5YoJ,hl7-fhir-rest,"FERRARO MEDICAL ASSOCIATES, PA",,production
e44f47c6-09b8-5fa6-a680-61b620236275,,https://fhir-service.medicscloud.com/fhir/da/adsc_LBsucGjnnFNS7vY,hl7-fhir-rest,CASANOVA & CASANOVA,,production
bb6de8e3-7c8f-566b-8bdf-ab54c10b9dc9,,https://fhir-service.medicscloud.com/fhir/da/adsc_rxHOP57qVrHbHpe,hl7-fhir-rest,RX- Physicians Eye Care Center,,production
60ddbec9-d13d-59ab-bff0-8b5feb5464bc,,https://fhir-service.medicscloud.com/fhir/da/adsc_VcrGJWIJlMhJGGW,hl7-fhir-rest,"EAST HAVEN PEDIATRICS, PC",,production
94cb0690-3430-5f0b-a294-a095b75e4bce,,https://fhir-service.medicscloud.com/fhir/da/adsc_fpQ2Lkjrxjr5Mfg,hl7-fhir-rest,KIRVEN ORTHOPAEDIC GROUP,,production
c9d5c6f5-1f95-584d-8017-6fc7a2b1f620,,https://fhir-service.medicscloud.com/fhir/da/adsc_IYGCDoFlosgblRn,hl7-fhir-rest,"JOHN TOTARO, MD",,production
336aff5e-5d10-5ed4-b533-78fa7a1e91ab,,https://fhir-service.medicscloud.com/fhir/da/adsc_y18QAElgv8zAdEf,hl7-fhir-rest,RIS - RIVER RADIOLOGY,,production
